,City,Cloudiness,County,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
339,cayenne,75,GF,1586962034,62,4.93,-52.33,86.0,10.29
340,fort nelson,4,NL,1586962034,44,52.65,6.39,64.99,8.05
341,roura,75,GF,1586962035,62,4.73,-52.33,86.0,10.29
342,eregli,100,TR,1586962035,30,37.51,34.05,62.82,12.1
343,sambava,1,MG,1586962035,85,-14.27,50.17,77.14,8.16
344,boa vista,94,CM,1586962035,71,4.43,8.97,85.8,9.04
345,meulaboh,47,ID,1586962035,78,4.14,96.13,81.81,3.94
346,bako,86,ET,1586962036,57,5.78,36.57,72.72,0.58
347,nyandoma,100,RU,1586962036,94,61.67,40.2,32.29,3.78
348,bilma,6,NE,1586962036,7,18.69,12.92,102.49,10.8
349,porto walter,75,PT,1586962036,82,41.15,-8.61,64.0,5.82
350,vestmanna,75,FO,1586962036,70,62.16,-7.17,44.6,24.16
351,zhigansk,61,RU,1586962036,93,66.77,123.37,5.86,12.3
352,inta,100,RU,1586962037,86,66.03,60.17,34.09,16.91
353,vao,72,NC,1586962037,79,-22.67,167.48,74.53,13.49
354,krasnoselkup,0,RU,1586962037,96,65.7,82.47,22.5,11.1
355,flinders,97,AU,1586962037,40,-34.58,150.86,71.6,5.82
356,elizabeth city,75,US,1586962037,38,40.66,-74.21,46.99,12.75
357,zaragoza,75,ES,1586962037,77,41.66,-0.88,63.0,16.11
358,san jose,31,ML,1586961815,24,13.3,-4.9,97.5,21.21
359,mantua,0,IT,1586962038,31,45.17,10.78,64.0,3.36
360,japura,99,ID,1586962038,93,-0.32,102.35,75.51,1.72
361,formoso do araguaia,100,BR,1586962038,71,-14.95,-46.23,69.21,8.95
362,tessalit,100,ML,1586962038,16,20.2,1.01,93.29,17.54
363,caucaia,75,BR,1586962040,74,-3.74,-38.65,82.99,2.24
364,fenoarivo atsinanana,75,MG,1586962040,64,-18.93,47.44,71.6,11.41
365,kosa,48,RU,1586962041,89,59.94,55.0,36.46,6.06
366,huilong,0,CN,1586962041,68,31.81,121.66,71.01,10.45
367,takoradi,35,GH,1586962042,66,4.88,-1.76,87.35,9.37
368,avera,1,US,1586962042,62,33.19,-82.53,62.6,10.29
369,bosaso,18,SO,1586962043,66,11.28,49.18,86.11,9.24
370,chabahar,79,IR,1586962043,55,25.29,60.64,83.82,10.36
371,sakhipur,75,BD,1586962043,65,24.3,90.18,78.8,5.82
372,mora,0,CM,1586962043,16,11.05,14.14,107.6,9.17
373,whitehorse,75,CA,1586962044,64,60.72,-135.05,35.6,11.41
374,rubio,75,VE,1586962044,78,7.7,-72.36,78.8,3.36
375,ostrovnoy,100,RU,1586962044,95,68.05,39.51,33.37,1.9
376,langenburg,36,DE,1586962045,23,49.25,9.85,63.0,5.82
377,mianyang,29,CN,1586962045,50,31.46,104.75,67.55,1.95
378,babynino,75,RU,1586962045,60,54.39,35.73,41.0,13.42
379,ranong,56,TH,1586962046,78,9.97,98.63,81.77,4.21
380,pedernales,20,DO,1586962046,58,18.04,-71.74,84.2,13.87
381,saint-augustin,92,CA,1586961784,83,51.23,-58.65,34.43,17.81
382,isangel,100,VU,1586962046,81,-19.55,169.27,78.4,11.54
383,yantzaza,90,EC,1586962046,93,-3.83,-78.76,66.2,1.12
384,nuuk,90,GL,1586961821,74,64.18,-51.72,35.6,11.41
385,victoria point,89,HK,1586962036,60,22.29,114.16,73.0,5.82
386,husavik,75,IS,1586962047,64,66.04,-17.34,39.2,24.16
